Transaction ID,Date & Time,Sender UPI ID,Receiver UPI ID,Transaction Amount (INR),Transaction Type,Transaction Status,Bank Name,Mode of Payment,Payment Purpose
TXN100000,2025-03-06 02:05:29,achang@upi,greenwilliam@upi,4223.67,Request Money,Success,ICICI,Intent,Food
TXN100001,2024-09-16 09:46:08,tammy59@upi,williamcampbell@upi,4591.99,QR Payment,Failed,ICICI,QR Code,Travel
TXN100002,2025-01-30 16:06:54,montgomeryjohn@upi,kyleblair@upi,704.98,Receive,Success,Kotak,Phone Number,Travel
TXN100003,2025-03-27 05:17:22,thomas15@upi,ostewart@upi,4914.1,Receive,Failed,SBI,UPI ID,Subscription
TXN100004,2025-04-01 17:23:21,tammywoods@upi,bryan80@upi,3423.08,Request Money,Pending,SBI,Phone Number,Food
TXN100005,2024-05-18 08:51:58,ypage@upi,salazarmaria@upi,1587.82,Receive,Pending,Axis Bank,Intent,Subscription
TXN100006,2024-08-19 12:33:14,jessicapadilla@upi,leeashley@upi,2611.55,Send,Pending,SBI,UPI ID,Transfer
TXN100007,2024-07-13 19:34:15,lindawest@upi,kaisernancy@upi,4202.06,Send,Pending,Axis Bank,Phone Number,Recharge
TXN100008,2025-04-09 10:09:03,jrodriguez@upi,jasmine85@upi,3654.09,Send,Success,Kotak,QR Code,Recharge
TXN100009,2025-02-22 10:53:26,tamaramorrison@upi,sean96@upi,4018.69,Receive,Pending,Axis Bank,UPI ID,Bill Payment
TXN100010,2024-08-13 06:36:00,kellylopez@upi,antoniozavala@upi,4966.18,Request Money,Success,ICICI,Phone Number,Transfer
TXN100011,2024-07-22 03:24:32,rjones@upi,nancymclean@upi,632.81,QR Payment,Pending,HDFC,Phone Number,Food
TXN100012,2025-03-05 07:48:28,villanuevasandra@upi,hmassey@upi,467.24,Request Money,Failed,Kotak,QR Code,Shopping
TXN100013,2024-07-28 04:36:20,melissajacobson@upi,criley@upi,927.5,Receive,Success,Kotak,Phone Number,Food
TXN100014,2024-10-20 11:23:25,christopher91@upi,vmatthews@upi,354.74,Receive,Success,SBI,UPI ID,Transfer
TXN100015,2025-03-06 08:12:12,johndennis@upi,thorntonnathan@upi,4616.18,Request Money,Pending,Kotak,Phone Number,Travel
TXN100016,2024-06-17 08:30:53,ronald01@upi,melissarobinson@upi,4060.03,Receive,Pending,Kotak,Intent,Travel
TXN100017,2025-02-23 11:37:21,johnsoncynthia@upi,myersmitchell@upi,1383.3,Request Money,Pending,PNB,Phone Number,Bill Payment
TXN100018,2024-05-27 05:08:16,jacobsjames@upi,jennifermendoza@upi,1628.38,Send,Failed,Kotak,Phone Number,Subscription
TXN100019,2025-01-19 13:05:14,gilesandrew@upi,qoliver@upi,959.99,Send,Pending,ICICI,UPI ID,Transfer
TXN100020,2024-05-09 07:59:48,charlesturner@upi,gwhite@upi,1110.1,Receive,Failed,Axis Bank,UPI ID,Bill Payment
TXN100021,2024-10-10 13:29:17,carlsonholly@upi,wgonzalez@upi,3917.76,Receive,Success,BOB,UPI ID,Bill Payment
TXN100022,2025-03-29 09:06:56,kmassey@upi,heidiharris@upi,630.97,Receive,Pending,BOB,UPI ID,Food
TXN100023,2025-02-04 03:42:51,kramereric@upi,matthewking@upi,466.74,Send,Success,Kotak,UPI ID,Recharge
TXN100024,2024-11-29 22:00:30,awade@upi,kmaldonado@upi,4805.55,Receive,Pending,SBI,Intent,Recharge
TXN100025,2025-03-17 21:16:48,deborah64@upi,annsmith@upi,3638.5,Send,Pending,SBI,Intent,Travel
TXN100026,2025-01-25 03:29:01,rogersbrandon@upi,dennis75@upi,516.49,QR Payment,Success,HDFC,UPI ID,Transfer
TXN100027,2024-12-05 02:23:09,emily99@upi,jenniferhughes@upi,1512.3,Request Money,Success,SBI,Intent,Bill Payment
TXN100028,2024-09-20 02:09:54,smithjames@upi,ernest37@upi,2986.46,Request Money,Success,ICICI,Phone Number,Transfer
TXN100029,2024-09-06 04:45:54,sjohnson@upi,tbarton@upi,2356.38,Receive,Pending,PNB,QR Code,Subscription
TXN100030,2024-04-30 07:31:39,seangreen@upi,seandyer@upi,299.67,Receive,Success,ICICI,Phone Number,Bill Payment
TXN100031,2025-03-30 19:03:15,hensontroy@upi,mary06@upi,2987.99,Request Money,Pending,HDFC,UPI ID,Food
TXN100032,2024-06-24 03:48:30,monroedavid@upi,moraleserika@upi,3409.59,QR Payment,Pending,ICICI,Intent,Subscription
TXN100033,2024-08-12 22:29:38,lewisjennifer@upi,bairdemma@upi,3291.5,Receive,Pending,PNB,UPI ID,Food
TXN100034,2024-12-05 20:20:25,leecharlene@upi,morganramirez@upi,3710.46,QR Payment,Pending,SBI,Phone Number,Recharge
TXN100035,2024-06-21 21:56:01,alvarezsandra@upi,johnsonrobin@upi,1208.25,Request Money,Failed,Kotak,Phone Number,Transfer
TXN100036,2025-02-16 18:24:52,callahandennis@upi,darin24@upi,1802.41,Receive,Pending,ICICI,Intent,Transfer
TXN100037,2025-03-08 17:38:20,williamsjamie@upi,angela59@upi,2077.95,Send,Success,Kotak,QR Code,Transfer
TXN100038,2025-03-31 11:56:13,mathissusan@upi,djoseph@upi,1678.66,Receive,Success,PNB,Intent,Food
TXN100039,2024-12-16 18:03:28,iwatson@upi,jaredmatthews@upi,3554.65,Request Money,Success,Axis Bank,Intent,Subscription
TXN100040,2024-04-15 14:26:10,edwardcook@upi,jennifer59@upi,3314.36,Send,Success,Axis Bank,UPI ID,Shopping
TXN100041,2024-04-25 23:56:08,nelsonedward@upi,michael82@upi,3510.57,Request Money,Pending,Axis Bank,UPI ID,Bill Payment
TXN100042,2024-08-04 02:15:39,woodsjohn@upi,parkermelody@upi,2477.97,QR Payment,Failed,SBI,Intent,Recharge
TXN100043,2025-01-20 03:07:11,turnermary@upi,robert18@upi,2747.32,Send,Pending,HDFC,UPI ID,Food
TXN100044,2025-03-31 00:48:42,zwells@upi,david17@upi,4748.24,Request Money,Failed,SBI,QR Code,Bill Payment
TXN100045,2024-09-24 19:06:24,turnerjessica@upi,samanthasims@upi,3589.45,Send,Pending,Kotak,UPI ID,Recharge
TXN100046,2024-09-05 00:05:17,joneschristopher@upi,brucesmith@upi,603.33,Receive,Failed,ICICI,QR Code,Bill Payment
TXN100047,2024-09-12 02:03:56,shane79@upi,rodneyrichardson@upi,2383.27,Request Money,Pending,SBI,UPI ID,Shopping
TXN100048,2024-07-22 11:25:40,ryanhoward@upi,shortmelissa@upi,4570.27,Send,Failed,HDFC,Phone Number,Bill Payment
TXN100049,2024-04-22 20:56:12,mgoodwin@upi,crawfordjonathan@upi,4360.6,QR Payment,Success,SBI,UPI ID,Recharge
TXN100050,2024-12-17 02:02:13,shealaura@upi,danielellis@upi,3408.17,QR Payment,Failed,Kotak,UPI ID,Subscription
TXN100051,2024-08-30 14:15:29,danielcarlson@upi,zhernandez@upi,3748.18,Request Money,Pending,PNB,Intent,Transfer
TXN100052,2024-12-16 01:29:20,frich@upi,martha73@upi,2182.85,Receive,Success,Axis Bank,Phone Number,Bill Payment
TXN100053,2024-11-08 22:51:24,alecthornton@upi,lisa08@upi,700.9,QR Payment,Failed,ICICI,Phone Number,Transfer
TXN100054,2024-06-08 18:23:20,carrie26@upi,jennifer71@upi,477.6,Send,Success,ICICI,QR Code,Recharge
TXN100055,2025-02-16 19:32:41,blackruth@upi,perezbilly@upi,4909.75,QR Payment,Failed,Axis Bank,QR Code,Shopping
TXN100056,2024-04-18 01:58:38,krivera@upi,mistymurray@upi,583.33,Receive,Success,ICICI,QR Code,Subscription
TXN100057,2024-09-03 08:28:48,gsantana@upi,berryerika@upi,2620.02,Send,Failed,Axis Bank,Phone Number,Shopping
TXN100058,2025-02-18 19:40:42,burgessrebecca@upi,keithsantana@upi,2079.46,Send,Pending,Axis Bank,Intent,Shopping
TXN100059,2024-09-21 10:03:59,ybruce@upi,melissayates@upi,4205.83,QR Payment,Success,Axis Bank,UPI ID,Transfer
TXN100060,2024-12-23 07:02:57,yangkevin@upi,marvin74@upi,2493.7,Send,Failed,ICICI,QR Code,Recharge
TXN100061,2025-02-26 13:15:22,kendra66@upi,martinselena@upi,3137.44,Request Money,Pending,SBI,UPI ID,Subscription
TXN100062,2024-07-13 22:42:02,jessica50@upi,olsondonald@upi,432.5,Receive,Success,Axis Bank,UPI ID,Bill Payment
TXN100063,2025-03-23 18:33:06,nunezedward@upi,robert97@upi,1975.1,QR Payment,Failed,Axis Bank,QR Code,Food
TXN100064,2024-09-09 07:39:22,ewilliams@upi,andrewgeorge@upi,427.48,Receive,Failed,Kotak,QR Code,Food
TXN100065,2024-06-02 16:22:52,daniel85@upi,patrickfrank@upi,967.81,Send,Success,BOB,UPI ID,Travel
TXN100066,2024-10-19 13:37:12,ibarrachelsea@upi,vmendez@upi,2263.54,Receive,Success,Axis Bank,Intent,Shopping
